normalized_merchant,assigned_category,label_notes
MISHRA SNACKS,Food & Dining,synthetic
GUPTA TIFFIN,Food & Dining,synthetic
DAILY GENERAL STORE,Groceries,synthetic
ANUJ SNACKS,Food & Dining,synthetic
LOCAL CHAI,Food & Dining,synthetic
LOCAL TAXI,Travel,synthetic
GANESH SWEETS,Groceries,synthetic
SRI GENERAL STORE,Groceries,synthetic
EXPRESS TRANSPORT,Travel,synthetic
OM PROVISIONS,Groceries,synthetic
LAXMI SNACKS,Food & Dining,synthetic
QUICK TRAVELS,Travel,synthetic
DAILY PROVISIONS,Groceries,synthetic
BHARAT TEA HOUSE,Food & Dining,synthetic
SURESH TEA HOUSE,Food & Dining,synthetic
ANUJ BAKERY,Food & Dining,synthetic
GANESH CHAIWALA,Food & Dining,synthetic
MISHRA CHAI,Food & Dining,synthetic
DOMINOS,Food & Dining,synthetic
PANDIT JI DHABA,Food & Dining,synthetic
METRO TRAVELS,Travel,synthetic
CITY TRAVELS,Travel,synthetic
LAXMI MART,Groceries,synthetic
GANESH PROVISIONS,Groceries,synthetic
LAXMI SWEETS,Groceries,synthetic
EXPRESS CABS,Travel,synthetic
PANDIT JI FAST FOOD,Food & Dining,synthetic
BALAJI PROVISIONS,Groceries,synthetic
BHARAT BAKERY,Food & Dining,synthetic
BALAJI VEGETABLES,Groceries,synthetic
MISHRA JUICE CENTRE,Food & Dining,synthetic
SRI FRUITS,Groceries,synthetic
PANDIT JI TIFFIN,Food & Dining,synthetic
LOCAL TRAVELS,Travel,synthetic
CITY PROVISIONS,Groceries,synthetic
BHARAT TEA STALL,Food & Dining,synthetic
GANESH KIRANA STORE,Groceries,synthetic
BHARAT DHABA,Food & Dining,synthetic
BALAJI FRUITS,Groceries,synthetic
OM MART,Groceries,synthetic
LAXMI CHAI,Food & Dining,synthetic
QUICK TAXI,Travel,synthetic
DAILY VEGETABLES,Groceries,synthetic
PANDIT JI TEA HOUSE,Food & Dining,synthetic
SURESH TIFFIN,Food & Dining,synthetic
LOCAL CABS,Travel,synthetic
ANUJ TEA STALL,Food & Dining,synthetic
GUPTA CHAI,Food & Dining,synthetic
MISHRA TEA STALL,Food & Dining,synthetic
LOCAL TRANSPORT,Travel,synthetic
SHARMA JUICE CENTRE,Food & Dining,synthetic
QUICK CABS,Travel,synthetic
LOCAL BAKERY,Food & Dining,synthetic
EXPRESS TRAVELS,Travel,synthetic
MODERN FRUITS,Groceries,synthetic
SAI TEA STALL,Food & Dining,synthetic
MODERN GENERAL STORE,Groceries,synthetic
GUPTA DHABA,Food & Dining,synthetic
SAI FAST FOOD,Food & Dining,synthetic
BHARAT JUICE CENTRE,Food & Dining,synthetic
GANESH DHABA,Food & Dining,synthetic
GUPTA BAKERY,Food & Dining,synthetic
MODERN PROVISIONS,Groceries,synthetic
ANUJ TIFFIN,Food & Dining,synthetic
SHARMA DHABA,Food & Dining,synthetic
IRANI CAFE,Food & Dining,synthetic
METRO CABS,Travel,synthetic
GUPTA TEA HOUSE,Food & Dining,synthetic
BALAJI GENERAL STORE,Groceries,synthetic
METRO TRANSPORT,Travel,synthetic
RAHUL BAKERY,Food & Dining,synthetic
PANDIT JI JUICE CENTRE,Food & Dining,synthetic
GUPTA FAST FOOD,Food & Dining,synthetic
DAILY KIRANA STORE,Groceries,synthetic
RAHUL TIFFIN,Food & Dining,synthetic
ANUJ FAST FOOD,Food & Dining,synthetic
SAI BAKERY,Food & Dining,synthetic
SHARMA TEA STALL,Food & Dining,synthetic
MISHRA FAST FOOD,Food & Dining,synthetic
BALAJI SWEETS,Groceries,synthetic
ANUJ CHAIWALA,Food & Dining,synthetic
CITY MART,Groceries,synthetic
PANDIT JI SNACKS,Food & Dining,synthetic
LOCAL TIFFIN,Food & Dining,synthetic
LOCAL FAST FOOD,Food & Dining,synthetic
GUPTA JUICE CENTRE,Food & Dining,synthetic
CITY GENERAL STORE,Groceries,synthetic
BALAJI KIRANA STORE,Groceries,synthetic
PANDIT JI CHAI,Food & Dining,synthetic
SRI KIRANA STORE,Groceries,synthetic
QUICK AUTO,Travel,synthetic
LAXMI TEA STALL,Food & Dining,synthetic
GANESH MART,Groceries,synthetic
SURESH JUICE CENTRE,Food & Dining,synthetic
OM FRUITS,Groceries,synthetic
MISHRA TIFFIN,Food & Dining,synthetic
LAXMI TEA HOUSE,Food & Dining,synthetic
GANESH FRUITS,Groceries,synthetic
PANDIT JI BAKERY,Food & Dining,synthetic
OM VEGETABLES,Groceries,synthetic
LOCAL TEA STALL,Food & Dining,synthetic
LOCAL AUTO,Travel,synthetic
GUPTA CHAIWALA,Food & Dining,synthetic
SURESH BAKERY,Food & Dining,synthetic
SAI CHAI,Food & Dining,synthetic
MODERN KIRANA STORE,Groceries,synthetic
LAXMI FRUITS,Groceries,synthetic
SAI TEA HOUSE,Food & Dining,synthetic
ANUJ JUICE CENTRE,Food & Dining,synthetic
SRI MART,Groceries,synthetic
OM SWEETS,Groceries,synthetic
CITY TAXI,Travel,synthetic
BHARAT CHAIWALA,Food & Dining,synthetic
DAILY FRUITS,Groceries,synthetic
LAXMI TIFFIN,Food & Dining,synthetic
GANESH JUICE CENTRE,Food & Dining,synthetic
SAI SNACKS,Food & Dining,synthetic
SURESH CHAI,Food & Dining,synthetic
SRI PROVISIONS,Groceries,synthetic
SHARMA TEA HOUSE,Food & Dining,synthetic
LAXMI CHAIWALA,Food & Dining,synthetic
LAXMI DHABA,Food & Dining,synthetic
MODERN SWEETS,Groceries,synthetic
METRO AUTO,Travel,synthetic
GANESH CHAI,Food & Dining,synthetic
GANESH TEA HOUSE,Food & Dining,synthetic
LAXMI JUICE CENTRE,Food & Dining,synthetic
CITY SWEETS,Groceries,synthetic
SHARMA CHAI,Food & Dining,synthetic
MODERN VEGETABLES,Groceries,synthetic
RAHUL CHAI,Food & Dining,synthetic
DAILY MART,Groceries,synthetic
DAILY SWEETS,Groceries,synthetic
BALAJI MART,Groceries,synthetic
LAXMI PROVISIONS,Groceries,synthetic
LAXMI FAST FOOD,Food & Dining,synthetic
SURESH SNACKS,Food & Dining,synthetic
BHARAT SNACKS,Food & Dining,synthetic
LAXMI VEGETABLES,Groceries,synthetic
LAXMI GENERAL STORE,Groceries,synthetic
GANESH SNACKS,Food & Dining,synthetic
OM GENERAL STORE,Groceries,synthetic
